n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time, quick_cmp, quick_swaps, quick_time 
446, 48298, 47858, 50286, 99235, 437, 30023, 3352, 0, 1942, 6704, 1244, 3584
447, 48726, 48285, 47567, 99681, 440, 33663, 3368, 0, 2371, 6712, 1254, 3567
448, 49080, 48638, 48933, 100128, 444, 33563, 3393, 0, 2158, 6818, 1236, 3538
449, 49407, 48964, 49651, 100576, 445, 32976, 3400, 0, 2351, 6704, 1243, 3514
450, 49779, 49335, 48841, 101025, 440, 30858, 3402, 0, 2648, 6858, 1231, 4260
451, 50229, 49784, 50048, 101475, 441, 30019, 3402, 0, 2009, 7104, 1243, 5127
452, 50238, 49792, 51689, 101926, 441, 29559, 3426, 0, 1986, 6807, 1247, 3708
453, 50362, 49915, 54125, 102378, 448, 31442, 3427, 0, 2163, 6414, 1258, 3413
454, 50539, 50091, 53548, 102831, 445, 31021, 3426, 0, 1959, 6570, 1279, 3564
455, 50705, 50256, 52753, 103285, 448, 36996, 3445, 0, 3615, 6582, 1286, 9905
456, 51056, 50606, 70111, 103740, 446, 32290, 3462, 0, 2178, 6637, 1271, 3820
457, 51376, 50925, 55540, 104196, 446, 33527, 3465, 0, 2222, 6963, 1287, 3795
458, 51488, 51036, 57203, 104653, 451, 33480, 3471, 0, 2268, 6970, 1265, 3957
459, 51930, 51477, 54232, 105111, 453, 32005, 3476, 0, 2000, 7044, 1286, 3764
460, 52211, 51757, 57680, 105570, 453, 32947, 3507, 0, 2207, 7259, 1286, 4002
461, 52312, 51857, 54903, 106030, 455, 32150, 3513, 0, 2337, 6545, 1298, 3468
462, 52337, 51881, 57211, 106491, 457, 32865, 3506, 0, 2201, 6828, 1288, 3474
463, 52799, 52343, 58786, 106953, 460, 31860, 3521, 0, 2333, 7269, 1302, 3730
464, 53153, 52696, 56463, 107416, 461, 35787, 3528, 0, 2084, 6945, 1328, 3643
465, 53192, 52734, 56531, 107880, 461, 33447, 3535, 0, 2059, 6826, 1320, 3631
466, 53218, 52759, 56147, 108345, 460, 32726, 3537, 0, 2317, 6892, 1327, 3531
467, 53227, 52767, 57382, 108811, 462, 32381, 3549, 0, 2316, 6935, 1331, 3686
468, 53438, 52977, 56948, 109278, 463, 33122, 3559, 0, 2302, 6632, 1299, 3421
469, 53485, 53023, 58069, 109746, 461, 32807, 3562, 0, 2286, 6990, 1311, 3568
470, 53747, 53284, 57847, 110215, 465, 32908, 3584, 0, 2197, 7011, 1302, 3581
471, 54169, 53705, 57072, 110685, 462, 33986, 3585, 0, 2386, 7341, 1302, 3701
472, 54200, 53735, 57681, 111156, 464, 33514, 3613, 0, 2204, 7113, 1336, 3784
473, 54556, 54090, 57990, 111628, 461, 33604, 3618, 0, 2206, 7016, 1315, 3586
474, 54867, 54400, 58147, 112101, 470, 34499, 3601, 0, 2043, 6960, 1352, 3755
475, 55113, 54645, 59281, 112575, 468, 33940, 3624, 0, 2053, 7035, 1327, 3573
476, 55459, 54990, 59442, 113050, 471, 34302, 3633, 0, 2682, 7185, 1313, 3849
477, 55930, 55460, 60613, 113526, 469, 33985, 3640, 0, 2067, 7306, 1339, 3813
478, 55935, 55464, 58138, 114003, 469, 34192, 3658, 0, 2077, 7275, 1325, 3829
479, 56222, 55750, 58119, 114481, 474, 34421, 3679, 0, 2292, 6747, 1371, 3478
480, 56383, 55910, 58273, 114960, 476, 34981, 3671, 0, 2076, 6890, 1375, 3596
481, 56832, 56358, 61388, 115440, 475, 35921, 3678, 0, 2375, 7308, 1327, 3886
482, 57118, 56643, 60631, 115921, 475, 35507, 3693, 0, 2411, 6989, 1374, 3942
483, 57196, 56720, 60500, 116403, 478, 35498, 3706, 0, 2090, 7323, 1356, 3883
484, 57220, 56743, 60165, 116886, 475, 36075, 3693, 0, 2550, 7340, 1335, 3715
485, 57395, 56917, 61266, 117370, 475, 36530, 3702, 0, 2147, 7477, 1363, 3887
486, 57517, 57038, 60685, 117855, 479, 35962, 3721, 0, 2115, 7358, 1352, 3918
487, 57601, 57121, 60215, 118341, 483, 36785, 3737, 0, 2107, 7445, 1365, 3899
